index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
751,26-06-1905,ã‚¢ãƒ•ã‚¿ãƒ¼ãƒ€ãƒ¼ã‚¯ [AfutÄ dÄku],"Haruki Murakami, Jay Rubin",eng,Intermediate,3.68,64278,genre fiction,694.84,0,5.99,866,"Amazon Digital Services,  Inc.",31536
752,14-06-1905,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,en-US,Intermediate,3.97,63304,genre fiction,892.04,535.224,7.69,867,Random House LLC,31536
753,02-07-1905,It's Not Summer Without You,Jenny Han,en-US,Excellent,4.14,80367,genre fiction,346.84,0,2.99,868,"Amazon Digital Services,  Inc.",31536
754,04-07-1905,Pushing the Limits,Katie McGarry,eng,Excellent,4.08,93818,genre fiction,462.84,0,3.99,869,"Amazon Digital Services,  Inc.",31320
755,23-06-1905,Quidditch Through the Ages,"Kennilworthy Whisp, J.K. Rowling",eng,Intermediate,3.85,90908,genre fiction,114.84,68.904,0.99,869,Random House LLC,31320
756,30-05-1905,Miss Nelson Is Missing!,"Harry Allard, James  Marshall",eng,Excellent,4.26,77206,genre fiction,1158.84,695.304,9.99,871,Penguin Group (USA) LLC,31320
757,01-06-1905,The Long Walk,"Richard Bachman, Stephen King",eng,Excellent,4.11,71775,nonfiction,462.84,277.704,3.99,871,Hachette Book Group,31320
758,23-06-1905,The Ersatz Elevator,"Lemony Snicket, Brett Helquist",eng,Excellent,4.01,90071,nonfiction,230.84,138.504,1.99,873,Random House LLC,31104
759,26-06-1905,Messenger ,Lois Lowry,eng,Intermediate,3.9,79746,genre fiction,462.84,277.704,3.99,877,"Amazon Digital Services,  Inc.",30888
760,29-06-1905,Lover Revealed,J.R. Ward,eng,Excellent,4.3,97830,genre fiction,694.84,0,5.99,879,"Amazon Digital Services,  Inc.",30888
761,27-06-1905,'Salem's Lot The Illustrated Edition,"Stephen King, Jerry N. Uelsmann",eng,Excellent,4.25,72797,genre fiction,770.24,462.144,6.64,879,Hachette Book Group,30672
762,29-06-1905,The Mysterious Benedict Society,"Trenton Lee Stewart, Carson Ellis",en-US,Excellent,4.14,87335,genre fiction,114.84,68.904,0.99,881,"Amazon Digital Services,  Inc.",30672
763,29-06-1905,God is Not Great: How Religion Poisons Everything,Christopher Hitchens,eng,Intermediate,3.96,64347,children,694.84,416.904,5.99,883,"Amazon Digital Services,  Inc.",30456
764,05-07-1905,"Never Too Far (Too Far, #2)",Abbi Glines,eng,Excellent,4.21,97616,genre fiction,114.84,68.904,0.99,884,"Amazon Digital Services,  Inc.",30456
765,26-06-1905,State of Fear,Michael Crichton,eng,Intermediate,3.69,65397,genre fiction,114.84,68.904,0.99,885,"Amazon Digital Services,  Inc.",30240
766,04-07-1905,The Statistical Probability of Love at First Sight,Jennifer E. Smith,eng,Intermediate,3.8,89356,genre fiction,114.84,0,0.99,886,"Amazon Digital Services,  Inc.",30240
767,26-06-1905,The Golem's Eye,Jonathan Stroud,en-US,Excellent,4.09,69058,nonfiction,810.84,486.504,6.99,886,Simon and Schuster Digital Sales Inc,29808
